pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
AR1.141727	-0.105459283448	0.107957311542	0.27059667886	0.101456956977	-0.208125996254	0.129887764204	-0.0615152118332	0.187869047433	-0.0781997419624	0.18816123638	-0.184822337483	0.0375467195057	-0.0196801747389	0.0896465432401	-0.0879230394357	0.0487377807597	-0.101078288662	0.00906704669753	-0.0126823623254	0.0175313584023	-0.0371112028	0.00857801152482	0.0199516461808	-0.0259380852007	-0.0164792277592	0.0776105749947	0.013780036699	0.0147191780455	0.0400373385567	-0.0298526809758	-0.0380426714298	0.0572211289723	0.0129518040004	0.0378820055239	-0.0995901137406	-0.0487963040755	-0.0128840083693	0.0345619263984	0.0836625857654	0.0202307569442	0.0945858181423	-0.108134214535	-0.0582592954112	-0.0219456559001	-0.0191799114231	0.0427222476263	0.0517639383883	0.0397664568821	0.051781244925	0.0661064343035	-0.021240086807	-0.0635421590924	-0.0175529090872	-0.02794922673	0.0677514767193	0.00146750397574	0.00385580690246	0.0576883355618	-0.0166963642522	-0.0422340532473	-0.00997195003853	-0.0255217659547	-0.0149857748844	-0.0505373369429	0.00997713722889	0.0391480630192	0.00592707617509	0.0225982798513	0.0144471367325	-0.0118339409223	-0.0163184167225	-0.055315226876	0.0259583390549	0.00124766008328	0.00426087458614	0.0211873122389	0.0896888157875	-0.0184963126221	-0.0315073559321	0.0237478668397	0.0425127038429	-0.0142101456028	-0.0140780521058	0.00868665842497	0.00587337159227	-0.0196954312425	0.00178252627129	-0.00328451135621	1.18553524406e-08
AR2.141703	-0.115931987627	0.149908768995	0.281618994623	0.107943768447	-0.165763200445	0.0543494383067	-0.0185398790192	0.179766156529	-0.0911238125971	0.100786815074	-0.0571678891825	-0.0101118229198	0.0272313368632	0.132912081593	-0.0783401361797	0.057648196555	-0.00446254101619	0.064859867685	-0.0309161599107	0.0246666429697	0.00366691482949	-0.0694357722687	-0.00158943335614	0.0286135554511	-0.0758174603906	0.0200469276036	0.0453298987893	-0.059339816035	-0.106554611751	-0.0132989676276	-0.070173813361	-0.0685006914947	-0.0545338381643	-0.0262865861734	0.0321053764072	0.0530703654034	0.0639704620775	0.0664631220336	-0.130897618659	0.0231830986294	-0.043658357609	0.0705932800032	0.0111117440171	0.0359727978148	-0.0152916097345	-0.0120241412435	-0.0963099606167	-0.0361392016544	-0.0471360129282	-0.0387854008016	0.0180137887899	0.0308593039246	-0.0975877968318	0.0605487792123	-0.00554021367163	-0.0282642774786	-0.00640763442177	-0.0890266738375	0.0945894478974	0.047466473419	0.0106320842712	-0.00756913726082	0.0668120047061	0.00787394387104	-0.0508084103246	-0.0469500569974	0.00423852721104	0.050120848953	0.0133369558369	-0.0714136902447	0.0233295162836	-0.000589628075505	-0.0123341998027	-0.00303657602291	0.022128837952	-0.0265996122818	0.0378162516539	-0.0137082305756	-0.003607211675	-0.00369719753136	-0.00794664956901	-0.00691877477236	-0.0207167033326	0.00561497256833	-0.00178382581309	0.000262081119107	0.00290526580674	0.0046747575713	1.18553524406e-08
AR3.141705	-0.158797936853	0.169995246659	0.309186555747	0.088774595875	-0.228775734259	0.0812439071159	-0.0424102073196	0.195243837992	-0.0927875558831	0.134207496139	-0.0537649383726	0.0397440142913	-0.00857947794072	0.100199336227	-0.0155425688419	0.010561322651	-0.00896722017826	-0.00795183220344	0.00419053099872	0.0609995124446	9.48713597889e-06	-0.00250578129008	0.00645427836473	-0.0239534608909	-0.00503956719496	0.0256990631254	0.00700127272233	-0.00251516244652	-0.00396153418719	0.0151264625023	-0.0555568620758	0.0257436328326	0.0487223082626	0.021599729266	-0.0310019465624	0.0240806996401	-0.00247792916613	-0.0330676296789	0.0490803715014	0.0459084665913	-0.0348669556253	-0.0156292406316	-0.0641472613687	0.0534879432499	0.0271818904833	0.00715063266119	-0.000345762815657	-0.0211003439493	-0.00454835089719	-0.0387738543557	0.00812445876669	0.000965185565997	0.00459070660002	0.0159582254124	-0.035436549405	0.0660996558977	-0.00809001543211	0.00200656919886	-0.0795716525524	-0.0137535697347	0.0245693892124	0.0690236472219	-0.0352794345677	0.000953159796798	0.0240232644819	-0.0193202512237	0.0431318937415	-0.0401640214975	-0.0615582383808	0.0616373055502	-0.00612970182611	0.0800809321447	-0.0249171515394	-0.0242792890795	-0.0256496606766	-0.015762767079	-0.14699878165	0.00306971604589	0.0545791973793	-0.0219951131524	-0.0393932615012	0.000902854125829	0.035521642824	-0.0223265023711	-0.00660792602836	0.017718013352	-0.010396990515	0.00233163221545	1.18553524406e-08
BB1.141690	-0.0521869697351	-0.0935937701121	0.0176274239448	0.0623990383602	-0.0287372049762	0.146700874195	0.104688298399	0.15118447088	0.501110679539	0.0118136742408	0.00952573488073	-0.312265309598	-0.279677532174	-0.0303889162566	-0.237905269393	-0.118260598834	0.050244382279	-0.0100421532073	0.0838940709008	0.0573044740207	-0.039660931628	0.0383767482485	0.0330014648997	0.0388536380025	-0.0233014847051	0.00809131461669	-0.00792499223059	0.0269366499875	-0.00341736861091	0.010089112833	-0.0191964337687	-0.0234621975803	-0.00138673542563	0.00731518285075	0.00643722976222	0.000572629384781	0.0148852854512	-0.017553873252	0.00266080654182	0.0216486711499	-0.0100161109705	-0.00488054450883	0.0132721216446	-0.00155313471702	0.0209640963257	0.00499323948256	-0.00445374052441	-0.000837848841125	0.00106836385253	-0.0165525254218	0.00604462369292	0.000962988095206	0.00794776121429	0.00409778959682	-0.00114315848593	-7.57146633704e-05	-0.00400153496399	0.0055315096967	-0.00303569726198	-0.000673193179912	-0.0118062359253	-0.000600107361213	-0.000728135786919	-0.000319282209003	0.0088886421582	-0.00816114408319	0.00558168876932	0.00493311001254	0.0105238495304	0.000785673159648	0.00310118977473	0.00163978870198	-0.00696504248071	-0.00305378911356	0.000118656835377	-0.000869188215005	0.000827225089387	-0.000451345187611	0.00210516773697	-0.0023676436355	0.000951314744241	-0.00278354773097	0.000191065139495	0.000360826269533	-0.00239610833579	0.00253290818195	-0.000192489707789	-0.0010755539627	1.18553524406e-08
BB2.141659	0.312952784649	-0.0489112160917	-0.053491831803	-0.100489735957	-0.0401231061841	0.151581435488	-0.0218359983981	0.116025949591	-0.1120645309	-0.190282068743	-0.0439532733289	-0.0637579882725	0.0267032922	-0.0641465027439	-0.0152638562684	0.0175091035349	0.0384218069671	-0.00198484503712	0.138723008061	-0.0660537276593	0.0462620676114	-0.06060361396	0.0734338902198	0.00905566027729	0.0910863782332	-0.0211656471539	-0.026193610545	-0.0957904656798	-0.000737654315223	0.0935029089082	-0.134247203325	-0.0316767362165	-0.0797524930803	0.0419145533046	-0.0115914881011	-0.0380452509662	0.0326657903672	-0.0315040572084	0.0560619490407	-0.00166933389778	-0.0800054800177	-0.0274801112253	0.0103195979632	-0.0457075739349	-0.0774572648781	-0.0106567050234	0.0405971038381	0.0407653858801	-0.0683612748638	0.0363888434282	-0.0157656486953	-0.00290131656301	-0.0367935652278	-0.0213569212864	-0.0206562674463	0.0439215984607	-0.0593366030526	0.0524393699739	0.0600713839362	0.0131135040199	-0.00509113182205	0.00687841830874	0.0188842533735	0.0163148135902	-0.0113677920118	0.0372540112122	-0.0351700230323	-0.017117055547	-0.0435929863663	0.00870212313709	-0.0376965518224	-0.0205141082092	0.0234012195684	-0.00706204268761	0.0245149962016	-0.00414624235134	0.0485622596571	0.0286009842211	0.0509588706221	0.0140506246664	-0.0405586386998	-0.0131246653391	0.0293523888336	-0.0207971282844	-0.061732608357	0.0212684317693	-0.0381043342006	0.0228683082107	1.18553524406e-08
BF1.141647	0.421982020284	-0.123406725262	0.0588203421054	-0.0795959374246	0.0294578864133	-0.072112028219	-0.102752742941	-0.00575544535219	-0.0185134610565	0.00839704651212	-0.0128397045775	-0.0027096006854	0.0212736501733	-0.0330885329383	0.0244296434039	-0.0462205964925	0.0679052489831	-0.0176654193882	0.0388826629814	-0.0277376406761	-0.0486041717585	0.0412519080499	-0.0562599679117	0.017202421433	-0.0183930917218	0.0559501182947	0.0061581142629	0.0539175806815	-0.0325794984517	-0.0232483127231	0.0180249754407	-0.0562652449317	-0.0652809610613	0.0509811773	-0.0259607963824	0.00922404312439	0.0576410682727	0.00409607038337	-0.00263135663117	0.0229544073356	0.0122476361517	-0.00970223356651	0.0167628743106	-0.0114076750788	-0.00896634421816	-0.00111757862252	0.0170549844622	-0.00945347943871	-0.0169893619173	-0.0167937697363	0.0492845719193	-0.0325052145059	-0.0309484399263	-0.032030111384	0.0124017216758	-0.00566627904266	0.0107144832497	-0.0225769923286	-0.0270039335532	-0.0151332835935	-0.00575267305079	-0.0184498228301	-0.0438410527491	-0.000872841414876	-0.00249555582506	0.00449078327897	0.00778303113269	0.0419602586273	0.00605868751299	0.00419549319037	-0.0277093654386	-0.00142528582648	-0.0272651372916	-0.0552019484266	0.0296664144152	-0.079425725419	-0.0430159547168	0.0347526644721	-0.044312442542	-0.0186623087943	-0.0078638494272	-0.0281301492434	0.0328152649921	0.0476556312615	-0.0892219863708	-0.119641352651	0.0125963219868	-0.0408174653949	1.18553524406e-08
BF2.141708	0.381614056607	-0.142690807816	0.0339854292111	-0.0942250872091	-0.0206210527601	-0.129909751068	-0.0794477270356	-0.0117639604924	0.0787763238057	0.122828688091	0.0393197469097	0.0512593769454	-0.00473657386577	0.0209298490201	0.0232220564275	-0.00274005287439	-0.0615750113687	-0.016727003631	-0.0355205935374	-0.0211239132088	0.013685000982	0.0726037034357	-0.103465134658	0.0109933440426	0.0151664181971	0.00742910328326	-0.0315989982419	0.0224561349857	-0.0522479539956	-0.0587404947695	-0.0329591387204	-0.11012150299	-0.021024158446	-0.00646588686453	0.0304334832239	-0.0588728096129	0.047472377219	-0.0580080925821	0.00713505627255	-0.00386312853714	-0.0254980746096	-0.0551924254954	0.0311783434739	0.0292291421108	-0.0650189245587	0.0252859132672	0.0240037534994	0.0304547041962	-0.0843281305431	-0.0259486662893	0.0408949330714	-0.0499982395096	0.0144173274725	-0.0480086775126	-0.00321167758142	0.033630686379	-0.0620242197117	0.0196228820285	-0.0630752629291	0.0260207115257	0.0126204393122	0.0714913530726	0.0202274956711	-0.028411922558	-0.0206986782806	0.0481145263498	-0.0214444662296	0.0233224002006	0.0132928526927	-0.0382633907154	-0.0414105544538	-0.0729918813223	0.00149300989458	-0.0104370665644	-0.012928032599	-0.10974148405	-0.00503851283833	-0.00673404180799	-0.0177440482258	-0.0438813411904	0.00214022398334	0.0205119122763	-0.0193233970801	-0.000163791444228	0.0451583263799	0.0842022745849	0.0272040478251	-0.000266102065401	1.18553524406e-08
BP1.141702	-0.273696028129	0.127843472281	0.077896717369	-0.203994854612	0.135637554257	-0.0446326051357	0.00656810024801	0.094683195873	-0.0312916010475	0.0798897422764	0.0893575258744	-0.0366494463102	0.00880191652687	-0.0817316980143	-0.00187497262243	-0.0974822856665	-0.0454680071063	0.00959979449763	-0.0373869533874	-0.0711306855071	0.0537179126005	-0.148534293842	0.0217196636346	-0.0145523568905	-0.0685195542512	-0.0796840760887	0.0612060579653	0.0961477744927	0.135420942992	-0.0751599266187	-0.120243635757	0.0126129185081	-0.0633496211545	-0.0407317416899	0.0653531784475	0.0130363305429	0.00196375748055	-0.00555010522414	-0.0373207412308	-0.0624640592327	-0.00252508644929	-0.0312190148702	0.0171879162106	-0.0189792639072	0.0264519548632	-0.00590530771166	-0.0323020378707	0.0188837475304	0.0234277974202	-0.00562216554237	2.76019904852e-05	-0.0480254785609	0.0680409711279	-0.0497392573278	0.0784937135693	0.110452955008	0.0400523548618	-0.0402236149801	0.0112273228905	-0.0109284061769	0.023303062333	0.0346676919283	-0.00447664237486	-0.0863175918787	0.00253166759426	-0.0793500250173	-0.0935016903412	0.0513339421118	-0.0543868863547	0.044283346985	0.0315010788643	0.00298061746216	-0.0059275332829	0.0326451275461	-0.0156343795491	-0.0112199529315	0.0140704960876	-0.0139702950631	0.00383226730025	0.0135354346364	-0.0186836355101	0.00560123755953	-0.00508772542847	0.00981498040333	-0.0175361067029	-0.0054772450062	0.00134110380859	6.37386107247e-05	1.18553524406e-08
BZ1.141724	0.247435594894	0.129911012543	-0.282541761919	-0.0784325464975	-0.084764855197	0.107117065851	0.135572372661	-0.0393995765039	-0.0274474174316	0.0473337873154	-0.013314635979	0.0461711946495	-0.0322589443927	0.0682052077191	0.0119913658033	-0.0451548521281	-0.0677816772502	0.07789246828	0.025908844591	-0.0239733499956	0.0494173936141	0.0247118410637	0.0018269999928	0.0243158583547	0.0282324394479	-0.00537092055681	0.0129858962477	0.0668179077218	-0.00348237053796	0.0282759435141	-0.0489311564308	-0.00656961328649	0.00449528590138	-0.0688641049298	0.14363047309	0.0179976761828	-0.00754533453387	0.00411311129014	-0.0289361475273	0.0334869571975	0.0240690504943	-0.0396405989236	0.04256186422	-0.0073084388071	-0.00493499280975	-0.00675900821589	-0.0848297927571	-0.00549449195298	-0.00344303549819	0.0247832263024	0.0246251094807	-0.0254527228502	0.0512616269139	0.0705028275545	0.00615724954317	0.0218619763234	0.00235698883543	0.00433280482563	0.00762417963182	-0.105268153502	-0.0246258630349	-0.013109972152	-0.0752894801963	0.0332549041162	-0.034525579431	0.0368911579503	0.0511318245397	0.00513679092487	-0.0843092587517	-0.0109855327753	0.00430696311396	0.0132828034311	0.0720894087446	-0.0888415359994	0.0876795890383	0.0206362316267	0.0239998141087	0.0552123753206	0.0151356013754	-0.0392258857054	0.00804652240973	0.032742097076	-0.0114573196059	-0.0348868340585	0.0316267350872	-0.0210349140214	0.0276229983473	-0.00663560795526	1.18553524406e-08
CA1.141704	-0.327796964497	0.0560103005254	-0.0149065726932	-0.187290655891	0.201381125289	-0.0907633647375	-0.00867036704308	0.0597186559772	-0.0148173378245	0.0103197737006	-0.0656239571248	0.0138354708165	-0.0863444197175	-0.0445047480252	-0.00905976043187	-0.0223188463628	-0.015562646328	0.0361603805351	-0.00684607687125	-0.0258666031432	0.0764398099219	-0.0123358177681	0.011619225822	-0.0622946492878	-0.0490219146228	-0.0216705325389	-0.0906080477743	0.0159824317996	-0.0232181044585	0.0840772471979	0.0694479017008	-0.0185348844673	-0.0822189970223	-0.0580564195545	-0.073021247036	-0.0590187282364	-0.0121802357753	-0.0415929336003	0.0353710041198	-0.0261820779967	0.0636137782369	-0.0360143374838	-0.133294340091	0.0468418032179	-0.0562235019479	0.00744718125876	-0.0703517190351	-0.00225617646238	0.0330201490883	-0.0661518323051	-0.0222486608561	-0.0266359974236	-0.0547415837602	0.0691860693363	-0.0128416072304	-0.0646507346361	-0.0662325454948	-0.0501595742798	0.0204449521557	-0.0311791890469	0.0538553187579	0.0485583580565	0.00769912863983	0.0704573541047	0.112567505464	0.0591212800477	-0.0558239620404	-0.046296397361	-0.0434777367865	0.0156027670658	0.0681662265209	0.00419197650391	-0.0260310104749	0.0100127100549	0.0506369606932	-0.0343345950443	0.0133841864364	0.00704466092334	-0.00252631427207	0.0108049018128	0.00375754885373	0.00586045808526	-0.0203698190692	0.0178944178227	0.00252047680487	-0.00287032724169	0.0081908653847	-0.00658380471116	1.18553524406e-08
