pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
AR1.141727	-0.125661377458	0.118059614273	-0.285146668212	0.0293678785578	-0.181701536824	0.0920166609885	-0.0291724040696	0.199059518946	-0.0880356385328	0.0881142534549	-0.124777259283	0.0476349829756	-0.172658933564	0.128902224349	-0.0219690361522	0.025576252419	-0.0845028285786	0.0421660311379	-0.0425028736683	0.0413620699459	-0.0176571336805	-0.0474753576125	0.0501100514012	0.0624565953772	-0.0273655824039	-0.00176161981282	0.0409026266703	0.00442504384434	0.0200542914007	-0.046751835543	-0.0961829685344	0.01091589136	0.0266783719697	0.0933533774115	0.0156591462189	-0.0598963679073	-0.0055684379238	-0.00116026510707	-0.0383531589511	-0.0470766520174	0.0055574630814	0.0894412617463	0.0806706541933	-0.000244872992413	-0.0218255077866	-0.0464511942825	-0.069427466955	0.0498851160871	0.0406647771146	0.0857776226356	-0.0217434162483	-0.00393985257903	-0.0640692464191	-0.0345904015938	-0.079328005818	-0.0222100854282	0.0554483259742	0.0994589648981	0.0251163795574	0.00225311134469	0.0694467882192	-0.0164496491692	-0.0481180621056	-0.0604509748719	0.0055269368908	0.0253315794737	0.0218316665834	0.0280655874123	0.0128160210699	-0.0224655440753	-0.0397480829225	-0.0383696583516	0.0121211290355	0.0101094657886	0.00476113288382	0.0030234295996	0.00858741304215	-0.00817241567503	-0.0425452212488	0.0270610796732	0.0141330999082	0.00226304350612	-0.0172699444699	-0.00906483609114	-0.00253708691397	0.0156707472597	-0.00110367105046	-0.000565293158181	8.9895217347e-09
AR2.141703	-0.119584476974	0.170575618947	-0.266625573074	0.0698122067254	-0.159701074159	0.00885362659257	-0.064811436322	0.157504765476	0.0341726172519	0.0710409637764	-0.0122968514104	-0.0476574397641	-0.151613336306	0.157642399227	-0.0852648684795	0.0167453664966	0.00625237158774	-0.000205440873979	-0.0473881661238	0.00743223853987	-0.0676335700223	-0.140582658311	0.108620747761	0.0686078624579	-0.0352817799126	0.00148914790373	0.0841273362511	-0.0213912204812	0.0175698229375	-0.0274374433505	-0.0675818451252	-0.0514291975289	-0.00901680505289	0.0138233896763	0.0864910284579	0.0231371656824	-0.00842217130802	-0.115105880883	0.04742894864	0.0542061729297	0.0545396950089	-0.0494914148033	-0.00214029554754	-0.0562343318204	-0.0238785691875	0.074030745483	0.00742692191579	-0.0836717234229	0.00452986813426	-0.0166845691518	0.0487098593763	0.0414082109353	0.0435183129907	0.0302429373616	0.0526918411205	0.0294976528584	-0.0188650449616	-0.104052205299	0.0276031696834	-0.037367211851	-0.0224802691827	-0.0194363930234	-0.0077416994333	0.0847021941026	0.0109026075257	-0.0585676064875	-0.00512666435879	-0.00271293953686	0.0643195498574	-0.00710763848414	0.0290850799036	0.00393031443611	-0.00811535050634	0.0363227309046	0.00622754942919	0.0309972649481	-0.0391864072449	-1.75258719994e-06	0.0224143545906	0.0199185554534	-0.0117060408885	-0.00110765195955	-0.00356674821239	0.0180667103715	-0.00420003762135	6.38554964149e-05	0.00143347811649	-0.00350690961475	8.98952173471e-09
AR3.141705	-0.215561899663	0.171423567368	-0.339740567153	-0.00228551209461	-0.209149158423	0.0594365219687	-0.0667422853826	0.200838862483	-0.0240969065907	0.032265969314	-0.086705139711	-0.0603866588342	-0.0712030977722	0.044389550701	-0.0692858536814	-0.0487818983355	0.000451674249971	0.0115787143311	-0.0408330317734	0.0150141055977	0.0256853956639	-0.0426138363359	-0.0200595926275	0.00391059309522	-0.0278673868502	-0.0270607131337	-0.0497185115144	-0.0540499934116	0.0234286014952	0.0161570486214	0.0452144615026	0.0560544802083	0.018326841552	0.0165828916878	-0.045974219489	0.0142756403529	-0.00363334147153	0.0513014024309	-0.0180970846507	0.0042393029967	-0.0750659010085	0.000551976321434	-0.00420265161981	-0.0248540149667	0.0245513229927	0.0283343985093	0.0230206062989	-0.0170354394162	0.0513285080881	-0.00364831332402	-0.00837824949132	-0.0435635299493	0.0530803248899	0.0752912647168	-0.0085778359208	-0.0233000658392	0.042210074859	-0.0366024425186	-0.0465211035056	-0.0106403163043	0.0278619424434	0.00358383032473	0.0329767974898	-0.0385714984415	-0.0386176431341	-0.0204220433527	-0.0898815786451	-0.0482046642671	-0.0856603160641	0.0250212190665	-0.0139340078826	0.0207372886162	-0.094412300903	-0.0186429583176	-0.0086452343349	-0.0653733699927	0.0184511326879	0.04114923359	0.0187190576629	-0.0558927548527	-0.00924332459837	-0.00155299135051	0.00660932724651	-0.00687617474035	0.00517202555134	-0.0112188615233	-0.00207644166272	0.00142986789548	8.98952173471e-09
BB1.141690	-0.0520194539542	-0.0607187129722	0.00921380300488	0.0707550332341	-0.0231305783567	0.0884780747125	-0.0775489228627	0.00948821133558	-0.21632624686	-0.182144409177	0.395890843384	0.0964464293	-0.438937659258	-0.233265587459	-0.00563957527048	0.0732306819818	0.0221274813012	-0.0586416930118	-0.0150419171611	-0.150375203178	-0.0397914390896	0.0752877520159	-0.0458830023516	0.0486979834771	0.0491474804779	-0.020272241766	-0.00615088525267	-0.0116244602226	0.0112307852645	-0.0395206418347	0.0157633811581	0.0140130651444	0.0171820534426	0.0163762202239	-0.0111584894756	0.0169568765513	0.00199480795201	0.029289503667	0.0390986603968	0.00967283634164	-0.00021881170469	-0.0154849396777	0.0180976435353	-0.0149922498958	-0.0163365667287	-0.0259457933749	0.00494727329591	-0.0172077702597	-0.0100555563681	0.00217262758458	0.022385196813	-0.00756480960406	-0.0150018083601	0.0192849886785	-0.011367714579	-0.00520961409024	-0.0103067687336	-0.0155397710414	-0.0158524089482	-0.00022392695428	-0.00724848031344	-0.0104571015367	-0.0052276835289	-0.0115581540818	0.0101279042173	0.00270301530136	-0.0100129508934	0.00100145007794	-0.0109040573637	0.0012663586066	0.00485620379535	-0.00260261076596	0.00424818140126	0.0127350438478	-0.0062937462479	-0.000908790974562	-0.0040901578736	-0.00644526412691	-0.00181719830456	-0.00192953319709	0.00570832023462	-0.00367207093345	0.0024643518879	-0.00197092360261	0.000992866620454	-0.000885212030939	0.000982009043106	0.000331446435193	8.98952173471e-09
BB2.141659	0.353712211539	-0.0455077569286	0.0547382448063	-0.0791824032478	0.021601710469	0.049638200488	-0.102562186598	0.116382247349	0.190268159954	-0.0423926768668	-0.0605402608827	0.141948431977	-0.00695217720086	-0.00905717642547	-0.00644791460468	0.0228752167852	0.117204379254	-0.00715074551898	0.00424516577112	-0.0493575769076	0.0723572972916	-0.0356533521952	-0.0338914010946	-0.00855203427858	0.0655337166207	0.0368224061507	0.048944761281	0.0442067471445	0.0575569911593	-0.0302744273594	-0.0205168028763	0.114392516626	0.00507021851355	0.0316260844151	0.0363786920664	0.115456783899	0.0212212968399	-0.105673773917	0.0261280165904	-0.0104543619752	0.0294994133477	-0.031930791194	-0.0254183385309	0.0118041200263	-0.00256965632181	0.00869338365811	0.0550509006721	-0.0191813243123	0.00840012115729	0.00660589877279	0.0209715900173	0.0560025433223	-0.0548057533621	-0.0523785095634	-0.00085841946193	-0.0361785309208	-0.0416629498836	-0.0376588298674	0.00229410634327	0.0210264370636	0.0779938754866	-0.0351205014582	0.00438687910334	-0.0413777712954	-0.030348753748	-0.00922388604751	0.0224816282719	0.0372873498726	-0.0278622611293	0.0223999519593	0.0173355381439	0.055446976819	-0.00447920982655	-0.0384836976496	0.0894706408018	-0.0251105372218	0.00908790416219	-0.00286967102454	-0.045177145067	0.00803221300562	0.02553060439	-0.0269203931277	0.0203266903296	0.0197137453204	0.00655943609338	-0.016874146113	-0.0115158096785	0.00650106073956	8.98952173472e-09
BF1.141647	0.464040600224	-0.150883949483	-0.0716128192314	-0.0985219671752	0.00440726074764	-0.0207075080056	0.109049854324	0.0509969949828	-0.0429417234181	0.0258090170008	-0.0280486140628	0.0155456734187	0.0679580585774	0.0195788475462	0.0432753794573	0.0519956648172	0.061645804881	-0.0128593356711	0.0349772682409	-0.0688451474862	-0.03829581291	0.0212831732265	-0.020126806066	0.0477281997725	-0.0651658641494	0.0087489252406	-0.0028041444946	0.0277891082423	-0.0210260562628	0.0359160179883	0.0163658591682	-0.00458166649723	0.0166737069263	-0.0016069500087	0.0130322138031	0.0120701461139	-0.0427681407649	-0.0128249932686	0.0419824950428	0.00576778978011	0.0357048374367	-0.0136243219479	0.0159115797965	-0.0588295283456	-0.0192817902746	-0.00643680998376	-0.00136189799851	0.00144139427034	-0.0393948751129	-0.00405367457666	-0.0244362440422	-0.0124708454992	-0.00233336081422	-0.0139539967223	-0.00337925878977	-0.01217656849	-0.00954050793784	-0.0335310452452	-0.0552176859009	0.0152500470261	0.0336653773335	-0.0374313552069	-0.0124006859398	-0.0138225208436	-0.0334297585209	0.0344704887696	-0.0172067007746	0.00737352360839	-0.0124882458339	0.0168021603991	0.0489360263477	-0.014740788966	-0.0303366625466	0.0466550373555	-0.0413116312963	-0.0134295508051	-0.0263280489163	-0.000109999745837	-0.0017449034158	-0.00187273414233	0.0494966693086	0.0776433903514	0.0200737601373	0.00148430501192	-0.0656230116538	0.0183146475182	-0.00416934882486	0.00873359683436	8.98952173471e-09
BF2.141708	0.407183031037	-0.13947770065	-0.0363779344753	-0.0996454847996	-0.0406647564512	-0.027764830112	0.0901022597318	0.0109293767504	-0.155957060466	0.0536664379521	0.027838541167	-0.0797408760017	0.0567652676784	0.0228711361416	-0.00573607050467	-0.0338899164926	-0.123204870459	0.0102411497138	0.00127037796638	-0.00504962707952	-0.0346018392074	0.0876629580271	-0.0461011085228	-0.0578871010214	-0.0403744746919	-0.0392627215823	-0.0196564571972	0.0489281562972	0.0199351016595	-0.039370390189	-0.0110425854537	-0.00853220660931	-0.0228013546464	-0.0108369491954	0.00315001518405	-0.0328684301702	-0.00706608315877	-0.0307002446351	-0.0240672799928	0.110285818265	0.0690242984019	0.0359645171989	-0.0145574071877	-0.0478334831476	-0.00478675300683	0.0400135895244	-0.033109308526	-0.0725617709799	-0.0221037788568	-0.00807929359437	-0.0141774326608	0.0254785044005	-0.0354460481949	-0.00732953130932	0.0035375609809	-0.105686984568	-0.00862830280214	-0.0584860748528	-0.0144985495795	-0.0591243514678	0.0203663904638	-0.0142829493581	0.0392415637247	-0.0904762610527	-0.0476701141522	0.059736455919	0.0421622962339	-0.00458063498839	0.0446592088782	0.00629697724077	0.0243419838942	-0.0565765353656	-0.0181525381805	-0.015643959975	-0.0414593657774	-0.00364515884602	0.0112409199053	0.0175242672983	0.034329354631	0.00780092956488	0.0279307981347	-0.0312283170018	0.0043340494171	0.0270193204261	0.0453533937801	0.00158872470919	0.0089522060643	0.00388518165322	8.9895217347e-09
BP1.141702	-0.26330945442	0.0746387380588	-0.0843910285274	-0.234054741425	0.169031012132	-0.112817239218	-0.0899992327782	0.0443180453579	-0.0437757464183	0.0423716165731	-0.00890607870574	-0.0945585938771	0.0469389691083	-0.125345685913	0.0646619935338	-0.0638032871686	0.0473570254553	0.0251889529525	-0.00900912342704	0.0109756268769	-0.116967339316	0.0135648757197	0.080639829848	-0.00816431816491	0.0209338999116	0.0103860710927	0.0925115029218	0.0794002506792	0.0938100285533	-0.0806774547672	-0.104929174359	0.0993810470666	0.0276121143295	-0.0497152168006	-0.0311530028554	0.0142778552089	-0.0895154047627	-0.0252506642585	-0.00402375794755	-0.036117616297	-0.0274306863427	-0.064511262605	0.0655970215331	-0.0315055036907	0.0201595462454	-0.0214733265853	0.0497387133142	-0.00474539764468	-0.0827479226503	-0.0737002406527	0.0399317311441	-0.0452188055713	-0.0363186112558	0.0185187707582	-0.0407621549493	-0.103577502525	0.0120814287432	0.0728014952505	-0.0162394616346	-0.00844559862094	-0.0866993066646	0.0416242043353	-0.000586718655729	0.0426747977201	-0.048965600055	-0.0242225338837	-0.0318036773759	0.00124557130799	0.0198916358292	-0.0911523446087	-0.0107075719587	-0.00533731270306	-0.0183013141936	-0.0174240455659	0.00342796751214	0.01235713365	0.00664102690494	0.0266901055031	-0.020786477686	-0.00876759285985	-0.00454782585878	-0.00105217480085	0.0100921364777	0.0113621365012	-0.00342396989977	0.0110402856344	-0.00389756364762	0.00149760028948	8.98952173471e-09
BZ1.141724	0.253513323294	0.130184641343	0.295052438608	-0.0915646788238	-0.0601670996937	0.0716091138392	-0.116528592364	-0.104807673058	-0.014661873768	-0.00973563131584	-0.0989495748125	-0.0530130214519	-0.0416912472177	-0.0176300519836	0.0215724567043	-0.128356442447	-0.0979109046266	0.022726818789	0.00817137087739	-0.0477192140873	0.0151075402986	0.0218788638651	-0.00972660579314	-0.0469095246746	0.00461806131712	-0.0213535672402	0.00817749455715	-0.0557424236118	0.0666269651574	-0.0406413093742	0.0185329288973	0.0329944785019	0.0392757714662	-0.0861013859901	-0.0235717394354	0.0516776225297	0.00668642384203	0.0267454606518	0.0926332536143	0.002249240259	-0.113133502299	0.0243766126292	0.00158986344685	-0.062527926977	0.00128757167578	-0.00254385590733	0.0504645930197	-0.0734900163478	0.0355276446589	-0.00851515759689	-0.0566682174914	0.0769015404165	-0.0344901124207	0.00824883081057	0.0179037082958	0.0623808549015	0.0535910694181	-0.0138212552306	0.0893429973493	0.0641170170833	-0.037696098687	-0.0780227717882	-0.0876791190686	0.0230226716051	-0.0377210007738	0.0408685097919	0.00407750637189	0.0123909194489	0.0196133645869	0.00854920231829	0.0552512174634	-0.00302866284696	-0.0212017921753	-0.00738653968973	-0.0271413322447	-0.017140032045	0.00984865183792	0.016241414637	-0.0220779630636	0.00801927911034	-0.0220574355333	0.00894559833372	-0.0484807519711	-0.0117504330874	0.00857310962318	0.0155444378248	-0.00495091244303	0.00549638719468	8.98952173471e-09
CA1.141704	-0.332948986709	-0.00730592804608	0.0124707840538	-0.184070347928	0.203494186857	-0.158346055282	0.064095750332	0.0103799871692	-0.0530638219578	-0.0247276980304	-0.0717603046044	0.0679194547757	-0.0452839213811	-0.0553529301928	0.0151445893746	0.0162712119154	-0.0264362230433	-0.0325651594957	0.0477354776563	0.0111989541167	0.0300159893968	-0.0570064412115	-0.101986595644	-0.0160269719672	-0.00715581746738	-0.00188161543423	-0.0257377970185	-0.0546538370999	0.0995041358327	0.0529412490252	0.0307887685824	0.00875947398157	-0.0486955131504	0.027191804406	-0.0474430847819	0.0220065620935	-0.0920789927381	-0.110378775618	-0.0666315936095	-0.0419253753876	-0.0574901842685	0.0493274056104	-0.0315983199814	0.146110577848	-0.0885103166785	0.0200306618971	-0.0407528406223	-0.047501665491	0.0144010499324	-0.0573857252855	0.0053429098239	0.0407457191666	0.0762449266135	-0.0272405123376	-0.0687135184623	0.0271386673718	0.0321461180765	-0.0315457147317	0.023514053884	0.021703115256	0.00629380029304	-0.00820036320622	-0.0602136248947	-0.0682838199282	0.0108198189323	0.0163882745057	-0.104507342165	0.0150217450897	0.0283174712805	0.0152965383141	0.0147322132203	-0.0319576711189	-0.0179097764359	-0.0048107358065	0.0074652901504	0.072480285396	-0.0141881319939	-0.00108390270379	0.0223905575472	0.0125825682186	-0.00707876581952	0.0011284924849	0.02169052301	0.00394214796399	-0.000869868340801	-0.00176180795955	-0.000265750703093	-0.00199458508888	8.98952173471e-09
