Subject	Scaling factor	Quantile value	Number of identified features	Library size
ESC.1.37.NPR.279429	37.9999999999996	1	79	1000
ESC.1.37.OPL.279622	42.9999999999996	2	70	1000
ESC.1.37.OPR.279696	60.9999999999996	2	91	1000
ESC.1.38.NPL.279535	36.9999999999996	1	67	1000
ESC.1.38.NPR.279574	51.9999999999996	1	83	1000
ESC.1.38.OPR.279528	55.9999999999996	2	83	1000
ESC.1.39.NPL.279625	37.9999999999996	1	64	1000
ESC.1.39.NPR.279533	30.9999999999996	1	59	1000
ESC.1.39.OPL.279608	38.9999999999996	2	69	1000
ESC.1.39.OPR.279454	31.9999999999996	2.04918032786885	58	1000
ESC.1.4.OPL.279685	37.9999999999996	2	58	1000
ESC.1.4.OPR.279584	36.9999999999996	3	48	1000
ESC.1.40.NPL.279538	58.9999999999996	1	93	1000
ESC.1.40.NPR.279593	45.9999999999996	1	78	1000
ESC.1.40.OPL.279667	34.9999999999996	2	64	1000
ESC.1.40.OPR.279567	35.9999999999996	3.45355191256831	59	1000
ESC.1.41.NPL.279701	90.9999999999996	1	179	1000
ESC.1.41.NPR.279558	88.9999999999996	1	174	1000
ESC.1.41.OPR.279638	56.9999999999996	4	59	1000
ESC.1.42.NPL.279451	90.9999999999996	1	166	1000
ESC.1.42.OPL.279703	38.9999999999996	1.01092896174863	95	1000
ESC.1.42.OPR.279505	40.9999999999996	4.43169398907104	54	1000
ESC.1.43.NPL.279597	94.9999999999996	1	183	1000
ESC.1.43.NPR.279632	70.9999999999996	1	109	1000
ESC.1.43.OPL.279611	46.9999999999996	2	90	1000
ESC.1.43.OPR.279635	45.9999999999996	2	87	1000
ESC.1.44.NPL.279445	68.9999999999996	1	102	1000
ESC.1.44.NPR.279539	40.9999999999996	1	75	1000
ESC.1.44.OPL.279532	68.9999999999996	3	77	1000
ESC.1.44.OPR.279527	37.9999999999996	1.20218579234972	93	1000
ESC.1.45.NPL.279554	74.9999999999996	1	141	1000
ESC.1.45.NPR.279508	52.9999999999996	1	97	1000
ESC.1.45.OPL.279704	74.9999999999996	2	114	1000
ESC.1.45.OPR.279442	56.9999999999996	1	108	1000
ESC.1.46.NPL.279695	35.9999999999996	1	64	1000
ESC.1.46.NPR.279531	29.9999999999996	1	69	1000
ESC.1.46.OPL.279623	55.9999999999996	3	76	1000
ESC.1.46.OPR.279457	40.9999999999996	2	69	1000
ESC.1.47.NPL.279422	51.9999999999996	1	88	1000
ESC.1.47.NPR.279485	43.9999999999996	1	68	1000
ESC.1.47.OPL.279646	61.9999999999996	2	99	1000
ESC.1.47.OPR.279560	41.9999999999996	2	72	1000
ESC.1.48.NPL.279700	39.9999999999996	1	76	1000
ESC.1.48.NPR.279488	42.9999999999996	1	77	1000
ESC.1.48.OPL.279572	37.9999999999996	1	81	1000
ESC.1.48.OPR.279680	36.9999999999996	1	87	1000
ESC.1.49.NPL.279459	38.9999999999996	1	81	1000
ESC.1.49.NPR.279663	38.9999999999996	1	66	1000
ESC.1.49.OPL.279522	46.9999999999996	1	107	1000
ESC.1.49.OPR.279650	51.9999999999996	2	87	1000
ESC.1.5.NPL.279512	63.9999999999996	1	116	1000
ESC.1.5.NPR.279434	50.9999999999996	1	100	1000
ESC.1.5.OPL.279518	29.9999999999996	2	55	1000
ESC.1.5.OPR.279659	41.9999999999996	2	75	1000
ESC.1.50.NPL.279504	44.9999999999996	1	77	1000
ESC.1.50.NPR.279432	57.9999999999996	1	88	1000
ESC.1.50.OPL.279499	56.9999999999996	2	91	1000
ESC.1.50.OPR.279637	43.9999999999996	2	74	1000
ESC.1.51.NPL.279416	48.9999999999996	1	85	1000
ESC.1.51.NPR.279541	56.9999999999996	1	93	1000
ESC.1.51.OPL.279500	51.9999999999996	3	71	1000
ESC.1.51.OPR.279561	54.9999999999996	3	80	1000
ESC.1.52.NPL.279698	84.9999999999996	1	154	1000
ESC.1.52.NPR.279453	48.9999999999996	1	73	1000
ESC.1.52.OPL.279433	23.9999999999996	2.00546448087432	48	1000
ESC.1.52.OPR.279589	45.9999999999996	2	69	1000
ESC.1.53.NPL.279607	80.9999999999996	1	144	1000
ESC.1.53.NPR.279571	81.9999999999996	1	159	1000
ESC.1.53.OPL.279544	55.9999999999996	1	123	1000
ESC.1.53.OPR.279665	39.9999999999996	1	87	1000
ESC.1.54.NPL.279482	55.9999999999996	1	135	1000
ESC.1.54.NPR.279565	48.9999999999996	1	104	1000
ESC.1.54.OPL.279614	40.9999999999996	2	66	1000
ESC.1.55.NPL.279662	64.9999999999996	1	119	1000
ESC.1.55.NPR.279643	77.9999999999996	1	141	1000
ESC.1.55.OPL.279670	54.9999999999996	2	87	1000
ESC.1.55.OPR.279483	62.9999999999996	2	109	1000
ESC.1.55a.NPR.279636	72.9999999999996	1	132	1000
ESC.1.55a.OPL.279678	47.9999999999996	3.28415300546448	66	1000
ESC.1.56.NPL.279537	83.9999999999996	2	106	1000
ESC.1.56.NPR.279443	55.9999999999996	1	112	1000
ESC.1.56.OPL.279540	37.9999999999996	2	68	1000
ESC.1.56.OPR.279444	53.9999999999996	2	88	1000
ESC.1.57.NPL.279466	119	2	155	1000
ESC.1.57.NPR.279489	67.9999999999996	1	123	1000
ESC.1.57.OPL.279441	39.9999999999996	2	62	1000
ESC.1.57.OPR.279529	37.9999999999996	3.83606557377049	55	1000
ESC.1.58.NPL.279683	75.9999999999996	1	136	1000
ESC.1.58.NPR.279559	58.9999999999996	1	94	1000
ESC.1.58.OPL.279556	35.9999999999996	2.7103825136612	72	1000
ESC.1.58.OPR.279427	34.9999999999996	2	59	1000
ESC.1.59.NPL.279610	43.9999999999996	1	76	1000
ESC.1.59.NPR.279657	77.9999999999996	1	140	1000
ESC.1.59.OPL.279417	40.9999999999996	2	67	1000
ESC.1.59.OPR.279629	48.9999999999996	2	74	1000
ESC.1.6.NPR.279431	31.9999999999996	1	64	1000
ESC.1.6.OPL.279475	31.9999999999996	3	46	1000
ESC.1.6.OPR.279580	33.9999999999996	2	59	1000
ESC.1.60.NPL.279640	55.9999999999996	1	102	1000
ESC.1.60.NPR.279550	56.9999999999996	1	108	1000
ESC.1.60.OPL.279582	29.9999999999996	1.51912568306011	74	1000
ESC.1.60.OPR.279487	56.9999999999996	2	104	1000
ESC.1.61.NPL.279673	57.9999999999996	1	86	1000
ESC.1.61.NPR.279549	49.9999999999996	1	89	1000
ESC.1.61.OPL.279525	48.9999999999996	2	86	1000
ESC.1.61.OPR.279506	68.9999999999996	2	107	1000
ESC.1.62.NPL.279612	49.9999999999996	1	99	1000
ESC.1.62.NPR.279534	53.9999999999996	1	104	1000
ESC.1.62.OPL.279669	73.9999999999996	2	108	1000
ESC.1.62.OPR.279652	47.9999999999996	2	84	1000
ESC.1.63.NPL.279530	60.9999999999996	1	109	1000
ESC.1.63.NPR.279435	31.9999999999996	1	68	1000
ESC.1.63.OPL.279420	50.9999999999996	1	94	1000
ESC.1.63.OPR.279596	11.9999999999996	3.79234972677596	23	1000
ESC.1.64.NPL.279653	65.9999999999996	1	123	1000
ESC.1.64.NPR.279697	80.9999999999996	1	139	1000
ESC.1.64.OPL.279491	26.9999999999996	1.28415300546448	66	1000
ESC.1.64.OPR.279439	28.9999999999996	1.7103825136612	72	1000
ESC.1.65.NPL.279490	35.9999999999996	1	67	1000
ESC.1.65.NPR.279480	50.9999999999996	1	100	1000
ESC.1.65.OPL.279620	94.9999999999996	2	125	1000
ESC.1.65.OPR.279502	64.9999999999996	2	98	1000
ESC.1.67.OPL.279621	50.9999999999996	4	57	1000
ESC.1.67.OPR.279595	26.9999999999996	2.81420765027323	50	1000
ESC.1.68.NPL.279602	38.9999999999996	1	73	1000
ESC.1.68.NPR.279639	61.9999999999996	1	107	1000
ESC.1.68.OPL.279566	41.9999999999996	3	54	1000
ESC.1.68.OPR.279573	40.9999999999996	1.43715846994536	101	1000
ESC.1.69.NPL.279492	50.9999999999996	1	94	1000
ESC.1.69.NPR.279690	43.9999999999996	1	80	1000
ESC.1.69.OPL.279699	40.9999999999996	1	93	1000
ESC.1.69.OPR.279668	53.9999999999996	3	71	1000
ESC.1.70.OPL.279570	31.9999999999996	3	42	1000
ESC.1.70.OPR.279543	40.9999999999996	3	54	1000
ESC.1.71.NPL.279693	79.9999999999996	1	136	1000
ESC.1.71.OPL.279661	64.9999999999996	2	100	1000
ESC.1.71.OPR.279471	44.9999999999996	1.88524590163934	112	1000
ESC.1.72.NPL.279666	62.9999999999996	1	119	1000
ESC.1.72.NPR.279648	48.9999999999996	1	93	1000
ESC.1.72.OPL.279581	54.9999999999996	3	95	1000
ESC.1.72.OPR.279523	68.9999999999996	2	118	1000
ESC.1.9.NPL.279497	40.9999999999996	5.3879781420765	44	1000
ESC.1.9.NPR.279682	31.9999999999996	4	47	1000
ESC.1.9a.NPL.279476	59.9999999999996	3	74	1000
ESC.1.9a.NPR.279438	29.9999999999996	2	56	1000
ESC.1.9a.OPL.279644	65.9999999999996	1	109	1000
