Subject	Scaling factor	Quantile value	Number of identified features	Library size
ESC.1.31.OPR.279592	32.9999999999995	2.32631578947369	67	1765
ESC.1.32.NPL.279449	45.9999999999995	1	88	1137
ESC.1.32.NPR.279452	52.9999999999995	1	113	2271
ESC.1.32.OPL.279633	74.9999999999995	2	105	1975
ESC.1.32.OPR.279600	24.9999999999995	1.84210526315789	61	327
ESC.1.33.NPL.279605	50.9999999999995	1	100	2006
ESC.1.33.NPR.279681	68.9999999999995	1	137	2772
ESC.1.33.OPL.279468	84.9999999999995	2	153	3185
ESC.1.33.OPR.279647	45.9999999999995	2.67719298245614	92	1806
ESC.1.34.NPL.279542	66.9999999999995	1	141	2032
ESC.1.34.NPR.279494	54.9999999999995	1	112	2478
ESC.1.34.OPL.279562	73.9999999999995	1	143	2104
ESC.1.34.OPR.279524	73.9999999999995	1	160	2491
ESC.1.35.NPL.279590	54.9999999999995	1	117	2100
ESC.1.35.NPR.279676	51.9999999999995	1	94	1759
ESC.1.35.OPL.279687	42.9999999999995	4.74035087719298	68	1056
ESC.1.35.OPR.279455	91.9999999999995	3	133	5301
ESC.1.36.NPL.279624	61.9999999999995	1	112	2459
ESC.1.36.NPR.279649	50.9999999999995	1	114	2909
ESC.1.36.OPL.279674	53.9999999999995	6.35789473684211	55	2161
ESC.1.36.OPR.279428	45.9999999999995	4.35789473684211	55	1848
ESC.1.37.NPL.279493	55.9999999999995	1	125	2353
ESC.1.37.NPR.279429	58.9999999999995	1	102	1356
ESC.1.37.OPL.279622	46.9999999999995	2.60701754385965	87	2120
ESC.1.37.OPR.279696	82.9999999999995	2	124	2502
ESC.1.38.NPL.279535	49.9999999999995	1	92	1899
ESC.1.38.NPR.279574	51.9999999999995	1	91	1251
ESC.1.38.OPL.279660	12.9999999999995	1	24	78
ESC.1.38.OPR.279528	58.9999999999995	2	109	2318
ESC.1.39.NPL.279625	46.9999999999995	1	96	2457
ESC.1.39.NPR.279533	34.9999999999995	1	81	1843
ESC.1.39.OPL.279608	49.9999999999995	2	96	2487
ESC.1.39.OPR.279454	38.9999999999995	3.84210526315789	61	1488
ESC.1.4.NPL.279599	47.9999999999995	1	96	887
ESC.1.4.NPR.279689	35.9999999999995	1.60701754385965	87	873
ESC.1.4.OPL.279685	52.9999999999995	3	69	1869
ESC.1.4.OPR.279584	39.9999999999995	3	56	1945
ESC.1.40.NPL.279538	78.9999999999995	1	150	2320
ESC.1.40.NPR.279593	51.9999999999995	1	94	1480
ESC.1.40.OPL.279667	51.9999999999995	3.60701754385965	87	4197
ESC.1.40.OPR.279567	48.9999999999995	3.53684210526316	82	3366
ESC.1.41.NPL.279701	123	1	240	1669
ESC.1.41.NPR.279558	103	1	238	2136
ESC.1.41.OPL.279503	30.9999999999995	2.87368421052632	49	475
ESC.1.41.OPR.279638	55.9999999999995	5.22456140350877	74	2699
ESC.1.42.NPL.279451	118	1	232	1706
ESC.1.42.NPR.279479	29.9999999999995	1	47	189
ESC.1.42.OPL.279703	63.9999999999995	1	143	2310
ESC.1.42.OPR.279505	44.9999999999995	4.15438596491228	69	2171
ESC.1.43.NPL.279597	135	1	285	2266
ESC.1.43.NPR.279632	80.9999999999995	1	145	1707
ESC.1.43.OPL.279611	63.9999999999995	2.51228070175438	123	3331
ESC.1.43.OPR.279635	82.9999999999995	3	111	2644
ESC.1.44.NPL.279445	84.9999999999995	1	162	2431
ESC.1.44.NPR.279539	50.9999999999995	1	104	1927
ESC.1.44.OPL.279532	47.9999999999995	2	99	1695
ESC.1.44.OPR.279527	73.9999999999995	2	128	2426
ESC.1.45.NPL.279554	93.9999999999995	1	204	1912
ESC.1.45.NPR.279508	77.9999999999995	1	133	1711
ESC.1.45.OPL.279704	80.9999999999995	2	147	2062
