pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
AR1.141727	0.0985763180689	0.136533036143	-0.248732112019	0.0275629113332	-0.200276216323	0.0472853318399	-0.016820864848	0.194746329893	-0.145800949529	0.0749971178379	-0.0449363597214	0.120918520701	-0.0164194971874	0.124532340054	-0.034795209096	0.0090197573196	-0.032008365471	0.0347399309542	-0.0179647632019	-0.00230586391836	-0.00730149616505	0.0287484069531	0.0353122946623	-0.0208955103089	-0.0271246387015	0.0608606156677	0.0117355616373	-0.111499748671	-0.0125908678697	-0.0167673683042	-0.0668179670646	0.0128011624132	0.0182382824522	0.083346428594	-0.058089507626	-0.0127915170355	-0.0835551531886	-0.0188321072853	0.0887522501244	0.0480366249948	0.0587746580316	0.0385294130111	-0.0174883254572	-0.0864314049856	-0.00503444657818	-0.116595739321	0.0422035398262	0.0624751399564	0.0633325711714	0.0164303144912	0.0927716762489	-0.0829868015836	-0.030176754727	-0.0566629212493	-0.0334949602233	-0.0596147721242	0.0572742573107	0.0886565219469	0.14585701983	-0.0652209457115	-0.0253633447507	-0.0109182057282	-0.0701753108343	0.00772494292429	0.00799244204176	0.0605535142601	0.00398889578469	0.0294012203816	-0.00161652100142	-0.0285317835664	-0.0497004728197	-0.0755200860107	0.0106228729298	0.037185620063	0.110746745998	-0.0560055514179	-0.0763725293538	0.0259686216304	0.0134812118451	0.00421782708007	-0.029496582751	0.012503640864	-0.0364592398016	-0.00991059251931	8.10788028127e-05	-0.0035836152045	0.0149718910146	-0.0010522794196	9.80800217991e-09
AR2.141703	0.0989756197582	0.163516046724	-0.226980798963	0.0557032237124	-0.152286346834	0.0360076362915	-0.0120738853895	0.142294538792	-0.132692269379	0.0433993756697	-0.11372625256	0.0986132332409	-0.0149329230156	0.147851045197	-0.0404367683141	0.0607956463506	0.025714443928	-0.100350153441	-0.0815237089053	0.00892030942375	0.0595628174817	0.0312376560335	0.123306446673	0.0474798906933	-0.0113392810637	-0.000272074286425	0.0249518045312	0.028511819073	-0.0355649334661	0.0584746716858	0.0546386102376	-0.0351340633775	-0.0467945509817	-0.0981234169635	0.0288396427888	-0.0425407947721	-0.0342096880894	0.0326788477828	-0.0171222438497	-0.0309303821237	0.00941677023857	-0.0117400692805	0.0734654165066	0.0995677813325	-0.0218868906238	0.0260787825035	0.0294323051421	-0.0452001460254	0.0618174416672	-0.0483675881843	-0.169195582103	0.0328853078371	0.065665449225	0.0698906077753	-0.00521829583783	0.0264829234605	-0.00224447384395	-0.0870299272139	-0.136733623654	-0.0108389797977	0.0745457373013	-0.0409144333783	0.0552613415276	-0.106214137606	-0.0580803200071	-0.00814543719038	-0.0116884279639	-0.0843419762831	-0.112747899109	0.0475065675253	0.0094957091794	0.000830981732605	0.003982739478	0.0401362068086	0.04182411538	-0.0246852295471	-0.0449073004748	0.0121513130819	0.0115558856146	0.00102555307659	-0.037422245178	0.00684733634027	-0.0120357147812	-0.0026583050202	-0.011612226619	0.0049549998971	0.0256645660712	0.00805686985533	9.80800217991e-09
AR3.141705	0.114256991691	0.17223066727	-0.261105037277	0.0298014888116	-0.187638408867	0.0102844318594	-0.00664242285747	0.154655991251	-0.13792343752	0.063373644877	-0.0233094154322	0.0593197973934	-0.0317782117119	0.103909618012	-0.0191126708405	-0.0198052186773	0.0309483888236	-0.0389164387167	0.0446825099543	-0.0255387979786	-0.0114499179385	0.0364123163232	0.0471557959141	-0.0142304807117	-0.0637922349766	0.059599356588	-0.00263292152158	-0.0554051103842	0.00501922662098	-0.109524870411	-0.0147992059562	-0.0453820809134	0.000594101451079	-0.02730880046	0.0714805596679	0.00208347938671	0.0762445051618	0.0106855179159	0.0371993943458	0.0153469206401	-0.0298618814155	-0.0788461535618	0.00943440251742	0.0509353896327	0.0446367621073	0.0218158012164	-0.0485705545473	0.0349458581046	-0.0449368288129	-0.00958986069378	-0.0470341249262	0.00846945388009	0.0248359715143	-0.04650010695	-0.0176405762503	-0.0782953534553	0.0261765994265	-0.0265497485504	0.00240642803738	0.118544899772	-0.107793888661	-0.0449771996524	-0.0546595655055	0.118369638895	0.0279136859173	-0.0601274443745	0.0177861018295	0.0286234106937	0.0718040624217	-0.0250626110487	0.0130470079956	0.0932224365967	0.012589139726	-0.0592034730769	-0.135097949677	0.0616224075189	0.128489762299	-0.0182515054831	-0.0576710464877	-0.0223838853659	0.0727340743901	-0.0222363709508	0.0548192609199	0.0102664801189	0.00806493951257	0.000442357682195	-0.0108168311316	0.00368371256369	9.80800217991e-09
BB1.141690	0.0599178456605	-0.0793238366529	-0.0283514470785	0.0661886096432	-0.126771126672	0.201426333174	0.220198741937	0.0528611986605	0.497355421218	-0.0127086220519	-0.141423040717	0.367601395484	-0.0573028803703	-0.0693713568701	-0.00425669610689	-0.150728550753	0.0510035578209	-0.00945298651654	0.0333742602494	-0.0570084232849	0.0146072935106	-0.0573452131628	0.0145209035858	0.0163795847638	0.0106469089416	-0.0243648278209	-0.0138211637593	-0.0224368910215	0.0235232605669	-0.0347620513188	0.000936860645691	0.00351433029196	-0.0038312403529	-8.61793718649e-05	0.00401414731859	0.00214048371638	0.00425033863433	-0.00294858038636	-0.0116648923538	-0.00291921701739	-0.0108793314586	0.0026632756155	0.0174503013345	-0.00245468553713	-0.0171976978168	-0.0069428592101	0.00506953563784	-0.0145868109741	-0.0109697526734	-0.012887119995	-0.00465481205374	0.00177933165649	-0.00169895027359	-0.00408747297797	-0.00489835542634	0.00544200265886	-0.00319843148877	-0.004729559835	0.000227603202181	0.00118416388387	0.00661134837801	-0.00194860137527	0.00327487848963	-0.000442853999865	0.00272506050132	0.00398278754066	0.00114405676348	0.00279585769886	0.00924449413228	0.00228285178524	0.00279972260136	0.000367936657505	0.00436685911033	-0.00281362997174	0.00368935194333	-0.000912333540547	0.00718403743544	-0.00295213647389	-0.00107568713935	-0.00376906154148	0.0044679371734	-0.00132025388275	-0.00161314163303	0.00186171725034	0.000659286615382	-0.00685160857092	-0.00213459339927	-0.0016583083172	9.80800217991e-09
BB2.141659	-0.29316108022	-0.0558414162741	0.0219063654113	-0.101370102366	-0.0332781316394	0.081681978641	-0.0614028915997	0.0951678298214	-0.0652992173405	-0.087770784699	-0.0174705786687	-0.0147124833738	0.0153875029034	-0.0590777690791	0.0121747143454	-0.130962324185	0.0206393339977	-0.0309727585427	-0.0917109638075	0.00517247086255	0.0396814532259	-0.0501948397339	-0.0962490375954	0.0964783334368	0.00902560801339	0.033991573487	-0.0131327007521	0.00636670547005	-0.00735429288173	0.0138560775646	0.0846569684984	0.00739348092505	0.0141348193112	-0.0259651265325	-0.0403320260423	0.123210779603	-0.00246360520891	0.0366454545739	0.0589522356118	0.0276803645333	0.0644319377181	-0.0264130315992	0.0216696383704	0.0470704281692	0.0407123479125	0.0771905601356	-0.0310105459999	-0.104140015316	-0.0558801700826	-0.0794909145145	0.127877133899	-0.0602024243931	0.0258638465967	0.0496339807011	-0.0219527263871	-0.121348627599	0.0623063353297	0.0406935440732	-0.0132995231229	0.0231980929865	-0.00910082163813	0.0531956555963	0.0306951817593	-0.155874058849	0.0538068115528	-0.0816661312001	0.00825480805778	0.0116972545029	-0.0263318739786	-0.0529388509558	-0.0382132545349	0.00798122375777	0.0364733000169	-0.0426203357627	0.0473721686132	0.040299205803	0.00262317838927	0.0987817541088	-0.094536519516	-0.0116029944863	0.039988142882	0.00266526756399	-0.0250248422185	-0.0101151690094	-0.0446023911108	0.0988382061035	-0.0424364265167	0.00604287523475	9.80800217991e-09
BF1.141647	-0.353614347476	-0.0709816285027	0.00672498783514	-0.0772762278053	-0.0102316749973	-0.0267462416449	-0.0795070637729	0.0246493402682	-0.00866248042993	-0.0530132802658	-0.0260209349929	0.00258695246851	0.0413039852302	-0.0473621772506	0.0481649068333	-0.0798264795142	-0.0259886158013	0.0118662357575	-0.0124511828525	0.0545145557101	-0.000468883969152	-0.0265560101736	0.0229337652306	-0.0100866741659	0.0256906041767	0.0623302119768	-0.0633703634124	0.0388609102021	0.0672758623982	-0.0133016783819	0.00125048083404	-0.0279769166587	0.0806911874571	0.0689490564055	0.0302972539299	0.0555572872178	0.0157383717642	0.0332957615217	0.0477290246712	-0.0575387637819	0.0214536929653	-0.0217779794288	0.0486301877336	0.0669053239211	0.00786077817862	0.0138140433889	-0.00968083351157	-0.0204257013154	0.0531144031404	-0.0213880660255	-0.059086995043	0.0188900203981	-0.0390651256894	-0.103447954403	-0.0374702400597	0.0326490068394	0.00177206825946	-0.0453896140927	0.0373548679758	-0.0219001870309	0.00610346995431	0.0123997444968	0.0150952236189	0.0302298551648	0.0747288038943	-0.0085422636584	0.00260636942743	-0.0735464537044	0.0107548009161	-0.00129897580382	-0.00293467175	-0.0739939998905	-0.0587884572261	-0.0737498150144	-0.0360714313468	-0.0733959777578	-0.0156265980785	0.0803964574673	-0.0837285042159	0.0925632883354	-0.0816001294243	0.0958761552206	0.0638903599296	0.0875767520825	0.102856986576	-0.080051182399	0.079170890123	0.115168278312	9.80800217991e-09
BF2.141708	-0.334976231297	-0.111478853303	-0.000974150897282	-0.082886449852	-0.0354750284639	-0.117355005173	-0.0670642762421	0.0268552335953	0.0774954534064	0.0788252941935	0.021023882853	0.00757219840479	-0.0729034004711	0.0157143467892	0.0312295783799	0.0122220395815	-0.0621122145106	-0.0247956598121	-0.0221199071066	0.0597471578256	-0.019029791308	-0.0465322775707	-0.0225784436118	-0.0984549778385	0.00798371415605	0.0788336338636	0.0117897835624	0.126406195834	0.00074290293931	-0.00812677941686	-0.0174690036461	-0.112422685732	-0.054071640486	-0.0415399910622	-0.0328296988554	0.0141564861929	0.00319279787002	-0.00319667353278	0.073299690764	0.0160632304438	0.0199279782678	-0.0769568719531	0.00585523542614	0.00464204324987	-0.0244542511899	-0.0187662997011	-0.00889301670999	0.031875195306	0.00527111427316	0.0241058582254	-0.039508946827	-0.0169358246099	-0.00738639552233	-0.164393353628	0.0275786393823	-0.0102448570002	0.00575952601437	-0.0288712944198	0.0230812186087	-0.0289163435399	0.059835420581	0.0507836601686	0.0307421845762	0.026779521711	0.0117594673782	-0.0123346946277	-0.011007832991	0.014160987216	-0.0720608115266	0.0570021680837	0.0134706465009	0.027319595423	0.0643119364816	-0.00722151097343	0.054003524033	-0.0239721088206	0.0122832474304	-0.131070861107	0.00557677835416	0.099954413942	0.0590572413288	0.0196750433381	-0.0289037623266	0.152639157267	-0.0900452277464	0.0599321203631	-0.0758893325728	-0.065804400181	9.80800217991e-09
BP1.141702	0.21658179874	0.067518777115	-0.0342453039811	-0.113413956606	0.0837275046475	-0.0264465153977	0.0317998637134	0.0723240780061	-0.0154589992997	0.0480442185929	-0.0167609541653	0.0174753871535	-0.0813036401637	-0.074371258584	-0.0125106383938	0.0702903664889	-0.100336454852	0.13807171072	0.112685335717	-0.166333518797	0.1147515357	0.0511233465778	-0.0645078458279	0.067929929395	0.0587175536661	0.137582202883	-0.106933916103	0.0673273974754	0.0274237160205	0.0334367511575	0.0383403393723	0.149024861449	-0.221902707688	-0.0624161376322	0.0346333579553	0.106989940598	0.0420216369127	-0.0299513964826	-0.0316351459464	-0.0316447574452	0.0336995513853	0.114949700595	-0.0103175651852	0.0449637304502	0.105046792578	0.0226082511819	0.0472332060465	0.111324782073	0.0765342738099	0.00937057076082	-0.0364383414153	0.0732946368948	-0.0695888114528	-0.0109613447034	-0.0135470332573	-0.025330517425	0.0480073031659	0.0363100681267	0.0331822796659	0.0756937162379	0.0435682425984	0.000224317057062	0.0584439648789	0.0190952464119	0.0242755705248	0.0152950349454	-0.0153985231982	0.00300407099398	-0.0214546524178	-0.00228678444599	0.0124917608171	-0.0133280732998	-0.043844671102	0.0210269675105	0.0218455190306	0.0143707765486	0.013520193846	-0.0156367127562	-0.0397906789843	-0.0166076093486	-0.00808287352459	0.0145267774862	-0.005403519603	-0.00478721253059	-0.0147498497243	0.00356642338207	-0.00628650720023	0.0111497272214	9.80800217991e-09
BZ1.141724	-0.202948414027	0.096448957675	0.229355875683	-0.107015574367	-0.0949903476253	0.0858670643723	0.0599495444121	-0.0542206765139	-0.0759709015766	-0.0509933875083	-4.41007584649e-05	0.00794735865358	-0.062966052325	0.0815964590166	-0.0692183327066	0.0407231728408	-0.0684964500777	0.0398686494914	-0.0189406577983	-0.013365459651	0.00889825848564	-0.104588545211	-0.0109755262245	0.0569868458559	0.0239285026566	-0.0786706376951	-0.0153494588425	0.0423752583039	0.0267504692955	-0.0461938602298	-0.016582529953	-0.00365148607881	-0.0612601082153	-0.106267677254	0.00252030490677	-0.0114956260854	0.00628693995702	-0.0811819625759	-0.0196446780717	0.0391780970504	0.0728593748572	0.00944567862396	0.0570722402099	0.0206067310704	0.0132411455933	0.0351270087492	0.0717470428057	-0.0196640599548	0.0439629193089	0.02047641822	0.0147182925626	-0.0840424081087	-0.0159954146009	-0.0649741722359	0.00462289538482	0.0385830765787	0.0197123674636	-0.0699239157314	0.0646124214516	-0.0326157420483	-0.00197875134586	-0.0355877959817	-0.0267241717693	-0.0711354394931	-0.0282567323186	0.0384861931426	0.0205217112057	0.0315751906427	0.0996891702609	-0.0339321711498	0.103357474055	0.109113246799	0.0756483569967	-0.0786464050852	-0.0665563907864	0.0436697358028	-0.0153890083211	0.0767820001437	0.0916645916604	0.0692248519796	-0.0925029761263	-0.0498578904189	-0.0814403614642	-0.00398737059663	0.0113503302061	-0.0841663379564	-0.0667055806795	0.0119207905278	9.80800217991e-09
CA1.141704	0.271726699702	-0.00941403199048	0.0623997712613	-0.0881075914857	0.180456287872	-0.0553639271865	0.0706318288864	0.0946746125274	-0.024871290362	0.00469209020781	0.0270838251543	0.0507361659118	0.00417226497358	-0.0912726513722	-0.0788003445216	0.0505142227127	0.0105104800079	0.000633186659774	0.0581962842331	0.126297242159	0.0616817335032	-0.0404086484288	0.0697170676062	0.0580204665762	0.0461608116145	-0.0139464024608	0.183514469729	0.0534459391795	-0.0892698720557	-0.0262164001477	-0.0364659577772	-0.0102393528724	0.0531777503097	0.0765315633448	-0.0662035278089	0.0108919394716	-0.00835654214373	0.112945632303	0.0708319094489	-0.00164807342806	-0.0484322108949	0.109968905071	-0.0297698369805	0.0183499790786	-0.0829585570734	-0.0235361687536	0.100988790905	-0.0258449788408	0.0448622416992	-0.00624025496569	-0.0895763815927	-0.0553018648154	0.0709700956934	-0.031514541205	-0.0705075975188	-0.0373403711698	-0.0614710456952	0.0716660092765	0.016191577642	0.106845904793	0.00327218139155	0.0131284200546	0.0149966027653	-0.0324424696381	0.0237422994837	-0.0980733765966	-0.0932542392925	0.104119769098	0.00715124326005	-0.0322286926529	0.120415231322	-0.0375126399851	0.0138364454252	0.00620236127163	0.0341510479823	0.0480591141605	0.0786744953765	0.0123434933388	0.0354810342439	0.000626391059177	-0.0254308166363	0.0134692325636	0.00604066349627	0.0181307652241	0.0151013791231	-0.0204599292882	0.00191169766431	0.00515757521471	9.80800217991e-09
