Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.LeftBackPaw.663863	478.999999999999	2	954	10000
59.HA.RightPalm.663869	167.999999999999	1	490	10000
56.CA.RightFrontPaw.663872	639.999999999999	2	1049	10000
59.HA.Forehead.663871	204.999999999999	2	417	10000
59.HB.LeftPalm.663884	216.999999999999	3	371	10000
59.HB.RightPalm.663870	149.999999999999	3	312	10000
56.CA.RightBackPaw.663868	379.999999999999	2	803	10000
59.HB.Forehead.663865	84.9999999999993	2	212	10000
56.CA.Forehead.663874	347.999999999999	3	578	10000
59.HA.LeftPalm.663875	181.999999999999	1	408	10000
56.CA.Mouth.663877	92.9999999999993	1	206	10000
FL3.37a.1.663867	74.9999999999993	1.19161105815063	224	10000
59.HB.Stool.663878	108.999999999999	1	309	10000
59.HA.Stool.663876	88.9999999999993	1	256	10000
HI20.58e.2.663861	95.9999999999993	2	187	10000
59.HA.Mouth.663864	69.9999999999993	2	112	10000
UT15.52a.663879	70.9999999999993	1	162	10000
59.HB.Mouth.663866	38.9999999999993	1.59294566253575	117	10000
UT15.51a.663882	169.999999999999	1	444	10000
FL3.37a.2.663880	61.9999999999993	1	155	10000
FL3.37a.3.663873	153.999999999999	1	431	10000
56.CA.Stool.663862	105.999999999999	1	243	10000
HI20.58e.3.663881	102.999999999999	1	228	10000
FL3.36a.3.663883	130.999999999999	1	357	10000
